Country,Type,k,b
AU,F,-0.01584567921875802,32.77799216733685
AU,N,0.0,0.0
AU,R,0.01584567921876417,-31.77799216734925
AT,F,-0.008095410934455842,16.549857748349762
AT,N,0.0,0.0
AT,R,0.007894736406118695,-15.155799700966043
BE,F,-0.008564135007940005,17.590894994326554
BE,N,-0.00601065407459099,12.589960176262094
BE,R,0.01452556828841491,-29.101551681833502
CA,F,-0.0041955563498181974,8.654949191524764
CA,N,-0.0007927465565118464,1.749358644828566
CA,R,0.00539471679639466,-10.225635305460365
CL,F,-0.0122569040861768,25.26987696541152
CL,N,0.0,0.0
CL,R,0.012400195835127132,-24.559384726523245
CO,F,0.0012175970754937178,-2.179009537517442
CO,N,0.0,0.0
CO,R,-0.0014818468587265397,3.7109995110075333
CR,F,-0.009148434785579269,18.482527531695805
CR,N,0.0,0.0
CR,R,0.00914986925746278,-17.485412732810815
CZ,F,-0.007045728573238572,14.74933410956612
CZ,N,0.002843648107438596,-5.3886807224987825
CZ,R,0.004080630143817161,-8.11792270233671
DK,F,-0.04148237443788396,83.98453149195073
DK,N,0.0,0.0
DK,R,0.041115025070664966,-82.26743024185974
EE,F,-0.029020822197436028,59.301740278727195
EE,N,0.0,0.0
EE,R,0.027974128910259036,-56.19779529643568
FI,F,-0.021540361710395067,43.65127935240709
FI,N,0.002782721879088756,-5.279377444014234
FI,R,0.018383836728886372,-36.62807555870585
FR,F,0.0006901929217142189,-1.2998028227485885
FR,N,-0.009914188249397233,20.710078362776905
FR,R,0.009134317998607944,-18.234640621679166
DE,F,-0.013604690301575873,27.96294482691463
DE,N,-0.009090605691036799,18.4651052751455
DE,R,0.022677593125378856,-45.40626539933488
GR,F,-0.021552339541883857,44.16858874624966
GR,N,0.0,0.0
GR,R,0.021528170081005313,-43.122059511244046
HU,F,-0.010721910065627482,22.012341973206375
HU,N,-0.00022322703669038982,0.9251486311455241
HU,R,0.010237165980890844,-20.51782782440602
IS,F,-2.9713380058157494e-06,0.006143071056063561
IS,N,0.0,0.0
IS,R,4.324266490812271e-06,0.9911292500440099
IE,F,-0.022693439114616243,46.4601015597153
IE,N,0.0,0.0
IE,R,0.02172616169646016,-43.51512263381387
IL,F,-0.006793360446115471,14.66314999482522
IL,N,0.0,0.0
IL,R,0.006507164649694355,-13.087713289356666
IT,F,-0.00878895445949605,18.342004816565957
IT,N,0.0,0.0
IT,R,0.008751974552415403,-17.27803538678214
JP,F,-0.0072455356683054015,15.374264584152488
JP,N,-0.00479728594238172,9.725534251719711
JP,R,0.011033806270858827,-22.097372306510923
KR,F,-0.0030267808982274444,6.785743473209635
KR,N,-0.0028224695335930653,5.968286933537948
KR,R,0.0051983816475495185,-10.44626695909208
LV,F,-0.009588546969115302,19.742071500868033
LV,N,0.0,0.0
