Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
AU,Fossil fuels,Electricity output (GWh),0.7767178810443963,0.7867513448356512,0.8175932682305818,0.8041894745916124,0.7937862705391484,0.7964577442664154,0.8354164898711313,0.8334732032543068,0.8258332138168419,0.8600604826007519,0.85832811521603,0.86484441592522,0.8809386165262469,0.8876542545558904,0.8820157111816814,0.8806610621021902,0.8930453228712849,0.8913257263511071,0.8962143566173971,0.9034396935581093,0.8940179894720703,0.8993313474856404,0.8945085642872895,0.8980552614420138,0.9037585718005845,0.9077027217599775,0.9041232427340785,0.915659499843605,0.9145594641182162,0.9161838142797241,0.9190154504715403,0.9213908117759854,0.9155930113425149,0.9181334980916951,0.9119629336054338,0.907006922273737,0.9135192753283206,0.9188474244362804,0.92502065740946,0.9140150585478239,0.8964431270841052,0.8950750915969972,0.8687719439038581,0.8540150706639501,0.8669964264964544,0.8550295396189896,0.8440204677795408,0.829681496422299,0.8040734278995676,0.7751262306783034,0.7346095090809649,0.6924798203959855,0.6629273445695759
AU,Nuclear,Electricity output (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,Renewable sources,Electricity output (GWh),0.22328211895560374,0.21324865516434882,0.18240673176941827,0.19581052540838756,0.2062137294608516,0.20354225573358467,0.1645835101288688,0.16652679674569318,0.1741667861831581,0.13993951739924818,0.14167188478396994,0.13515558407477996,0.11906138347375304,0.11234574544410963,0.11798428881831857,0.11933893789780975,0.10695467712871513,0.10867427364889294,0.1037856433826029,0.09656030644189076,0.10598201052792967,0.10066865251435969,0.10549143571271043,0.10194473855798623,0.09624142819941553,0.09229727824002257,0.0958767572659215,0.08434050015639502,0.08544053588178385,0.08381618572027599,0.08098454952845964,0.07860918822401464,0.08440698865748507,0.08186650190830497,0.08803706639456617,0.09299307772626296,0.08648072467167944,0.08115257556371955,0.07497934259053991,0.08598494145217604,0.10355687291589477,0.10492490840300286,0.13122805609614188,0.14598492933604992,0.13300357350354564,0.14497046038101036,0.15597953222045924,0.17031850357770092,0.19592657210043238,0.22487376932169656,0.26539049091903516,0.3075201796040145,0.33707265543042414
AT,Fossil fuels,Electricity output (GWh),0.4167080348911425,0.4127571305099395,0.38698408591020833,0.32944170034425985,0.3218160478630521,0.41801113854280303,0.3359408486926704,0.34172041298404865,0.3051720277632659,0.30170673076923077,0.2577522132272878,0.25684858529655497,0.2565281616315639,0.28718527230396274,0.2706552055232957,0.26250085271846646,0.2558364192561584,0.23352509917132236,0.2589156749059099,0.3368833171048361,0.34839879635718696,0.2746951280562286,0.2581417531291974,0.29084070541728235,0.2936315198086194,0.3275656101840445,0.31811080183173207,0.30019674476837777,0.29043994926230055,0.27210475331529543,0.30453436389539357,0.30590056996013576,0.38792020242009057,0.35323174275198554,0.3590944332454644,0.33806298353182884,0.3044852952859118,0.30036425637448655,0.27916760913820404,0.3286767844788247,0.3338204592901879,0.2427920650860877,0.20854555306138245,0.17618321106277998,0.21962337347450092,0.20617119394524366,0.2325074507361772,0.21916755077878747,0.2176527040758722,0.18836328960295903,0.20136483096404253,0.20875249177135968,0.1451615197507859
AT,Nuclear,Electricity output (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,Renewable sources,Electricity output (GWh),0.5832919651088575,0.5872428694900605,0.6130159140897917,0.6705582996557402,0.6781839521369478,0.581988861457197,0.6640591513073296,0.6582795870159514,0.6948279722367341,0.6982932692307692,0.742011077971879,0.7427725819817687,0.7425188220718574,0.7122386770035763,0.7286589547803027,0.7366350592355094,0.7432981806472387,0.7653949199360319,0.7403316041094496,0.6620212593313859,0.6506247384468224,0.7239632351468792,0.7406708064861498,0.7080270960066013,0.7050636123092537,0.6680479336991825,0.6791595582293257,0.6981040958683599,0.7067895053074305,0.7254400908574673,0.6915682774657343,0.6901294764932626,0.6067611064254609,0.639681668496158,0.6339742595751279,0.6527719816378287,0.6860134415862978,0.6902425792451368,0.7114076754882003,0.6623879410595734,0.6569455596595472,0.74703459517676,0.7816549268519235,0.8145491138089982,0.7691263234462136,0.782614024605108,0.7570096229408537,0.7696234451158571,0.7710567912385684,0.8007859908686354,0.7877493728347867,0.7793179113933831,0.8448955206896062
BE,Fossil fuels,Electricity output (GWh),0.9959683485272437,0.9948461953588775,0.9910624153637818,0.9882781112634116,0.8272820814346612,0.7835027481272415,0.7352194414218354,0.7429537767756482,0.7696561024949427,0.7527452863950576,0.7296557511338435,0.6746768578174397,0.5245522373672136,0.4724529707580555,0.3742867807817416,0.3020947224102324,0.3111492611548767,0.3172866859825537,0.3694394186342091,0.3780515563648779,0.38323546764813304,0.3743873407085842,0.3854113147228407,0.4132125986459399,0.4185619456988955,0.40599962735233835,0.3755538716430562,0.42042034724337496,0.39337379747139123,0.39631280731639545,0.38423770637767435,0.38918197655024156,0.4095690573353598,0.40034490659784616,0.39980559737319377,0.39101525462379527,0.38939062320009216,0.3822814072771932,0.39761573171411063,0.3990624932958617,0.34885464576269287,0.35931344963421497,0.31922505902110154,0.33364157314390597,0.3839146467664592,0.29477695849262053,0.2996186777710195,0.3578028747433265,0.30307113520971896,0.3254682834132658,0.24841762613780216,0.2596172147615523,0.24105658518564127
BE,Nuclear,Electricity output (GWh),0.0,0.00029681597409606046,0.001871229841191678,0.003497660348820721,0.1662011857513842,0.2129745559493241,0.25473127226951714,0.24749302794754643,0.21976688180329448,0.2363677459456405,0.2569179436974286,0.3134179038777062,0.4647477298579113,0.5167256472341218,0.6150304840114471,0.6836743548359105,0.6733357934763425,0.6678235540199253,0.6163105402455253,0.6077789791156888,0.6020987272778355,0.6085422209774541,0.5983758634469373,0.5694341262387688,0.5625442080635508,0.5767521094519418,0.6088799270494856,0.5624733475479744,0.5879735143823621,0.5817959962789798,0.5895469230964919,0.5851320129974426,0.566998958844437,0.5705671663390456,0.5641825013928237,0.5598362918421969,0.555546596014284,0.5486550918679414,0.5261211074591945,0.5142771329886512,0.5397656695874039,0.49295343886863546,0.5189475989972497,0.4722093788967817,0.38046028946639654,0.5151199536045259,0.4939292565386235,0.3863206527612666,0.4691754611014693,0.3895009501402588,0.5056161713585308,0.46398435021677065,0.4054922726433101
BE,Renewable sources,Electricity output (GWh),0.004031651472756265,0.004856988667026443,0.007066354795026468,0.008224228387767643,0.0065167328139546276,0.0035226959234344163,0.010049286308647506,0.009553195276805317,0.010577015701762836,0.010886967659301952,0.013426305168727897,0.007583336668133979,0.00690200312325281,0.006984540882845967,0.006043477488046357,0.008017910136929245,0.009257625106294222,0.008475232797756464,0.007521270391913513,0.007895635349684174,0.007529570421150226,0.008640246464080662,0.007235828052748758,0.008410311041336679,0.009086457369824255,0.00746626207777689,0.007551919446192574,0.009247639354249163,0.01019600316675863,0.012612808524518865,0.013673713398967158,0.014059971089338884,0.014265027943657927,0.018053327866282366,0.024964142198409218,0.0354300939761639,0.04015666397880428,0.05319430731813037,0.06059829535958999,0.07112822603136464,0.09326216134555343,0.12872207677815567,0.14275804999148148,0.17119919297213232,0.2107740966928537,0.1687753725248843,0.18492958405464838,0.2322084729276991,0.21003158450742182,0.26542846801194464,0.22831394297426005,0.25839061013006237,0.3325041561480204
CA,Fossil fuels,Electricity output (GWh),0.24840758588668052,0.23271319278258784,0.22279612412572525,0.20511084069625946,0.223906453009961,0.2260344711957615,0.2312484085135983,0.21964847611743127,0.21824232129431093,0.22181323303275308,0.21123802694258054,0.22996832314011395,0.2235809038079592,0.22045262122148235,0.20278792263373052,0.1808131865317048,0.2024491786364882,0.2234845938818357,0.24979878671391675,0.22456162168884466,0.21856684500384116,0.22796182782591,0.2058888671992312,0.20162042738008137,0.21486340201129592,0.20657636120326744,0.23229077406455298,0.2682263136178023,0.2608845709158053,0.2734742364995298,0.2893098383235663,0.2752071541958594,0.2835415571866895,0.26461219090397153,0.25309566365554,0.24370875685985977,0.24828837207820853,0.2346110588071754,0.2186771157092304,0.23180660944561926,0.22334691918131186,0.20903700914112652,0.19826893824155764,0.20212040640616624,0.20463252374639698,0.19844971266744774,0.1814291988583796,0.1874990506338728,0.18615433694988665,0.17862845281813827,0.18054603166723035,0.17527948402948404,0.18833912563388192
