Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
Chile,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Renewable sources,Electricity output (GWh),4875,5787,5646,6410,6439,6672,7049,7342,7542,7976,8260,9051,9821,10176,11265,12110,13094,12885,10864,9891,14167,18493,19602,18772,20293,18579,20689,17105,14600,19457,23078,24216,23488,24017,28280,30567,25835,27314,29649,24296,26020,25421,26060,30349,32872,34319,34876,38075,39388,40900,42990,50353,56520
Chile,Total,Electricity output (GWh),8524,8934,8766,9297,8732,9277,9776,10360,11134,11751,11978,11871,12624,13497,14040,14744,15637,16915,17811,18372,19961,22363,24003,25277,28027,30733,33297,35509,38390,40078,42531,43671,46829,51208,52484,55320,58509,59704,60722,60434,65713,69751,73065,70753,75414,79335,79443,82339,84558,83994,88019,91019,87739
Colombia,Fossil fuels,Electricity output (GWh),3578,3229,3688,4083,3841,4307,4612,5087,5529,5934,6274,6833,7409,7988,8217,7944,8096,8361,8037,8586,8995,10323,10313,8906,10079,7375,12648,13583,8624,10555,11148,10583,9872,9123,9982,10430,10198,8944,15500,17764,11261,13941,22627,21776,28580,26182,16401,18508,24052,27213,21094,21863,28209
Colombia,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Renewable sources,Electricity output (GWh),6663,7298,7939,8849,9090,9399,10645,12276,13476,14512,14503,15349,15496,17306,18610,21486,23401,24651,26933,27771,27995,22621,28246,32503,32637,35987,31957,31314,34198,32576,32300,34465,36675,40603,40362,43342,45034,47001,41656,42865,50926,49598,51374,49296,50016,50618,62879,61455,56364,52336,64957,65181,60661
Colombia,Total,Electricity output (GWh),10241,10527,11627,12932,12931,13706,15257,17363,19005,20446,20777,22182,22905,25294,26827,29430,31497,33012,34970,36357,36990,32944,38559,41409,42716,43362,44605,44897,42822,43131,43448,45048,46547,49726,50344,53772,55232,55945,57156,60629,62187,63539,74001,71072,78596,76800,79280,79963,80415,79550,86872,87056,88882
Costa Rica,Fossil fuels,Electricity output (GWh),110,162,209,213,228,190,413,439,365,96,70,67,74,53,50,48,123,137,82,86,198,843,495,484,842,446,171,441,133,59,100,122,157,66,271,533,722,677,451,641,863,830,1196,1043,108,193,37,159,96,24,3,2,614
Costa Rica,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Renewable sources,Electricity output (GWh),1038,1105,1138,1255,1303,1457,1347,1486,1632,2130,2295,2397,2796,3014,2766,2901,3010,3056,3328,3382,3666,4069,4417,4428,4039,4356,5440,4972,6045,6860,6645,7403,7296,8149,7989,8164,8328,8797,8859,8942,8969,9344,9039,9174,10704,10739,11320,11363,11396,11706,12734,12581,11703
Costa Rica,Total,Electricity output (GWh),1148,1267,1347,1468,1531,1647,1760,1925,1997,2226,2365,2464,2870,3067,2816,2949,3133,3193,3410,3468,3864,4912,4912,4912,4881,4802,5611,5413,6178,6919,6745,7525,7453,8215,8260,8697,9050,9474,9310,9583,9832,10174,10235,10217,10812,10932,11357,11522,11491,11730,12737,12583,12316
Czech Republic,Fossil fuels,Electricity output (GWh),35164,38315,40093,41321,44094,46783,49227,51835,48956,50257,51516,52977,54796,55487,54053,52581,49030,50419,51070,48525,47077,45405,44497,43631,45938,48712,49530,49463,48444,57031,56903,54252,55058,54716,54063,54080,58172,53001,49760,51300,51094,48159,45815,45442,46195,48443,47724,47429,45358,39624,42191,41838,34083
Czech Republic,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,200,1239,2397,6149,10701,11816,12418,12585,12132,12250,12627,12977,12230,12850,12494,13178,13357,13590,14749,18738,25872,26325,24728,26046,26172,26551,27208,27998,28283,30324,30745,30325,26841,24104,28340,29921,30246,30043,30731,31022,30410
Czech Republic,Renewable sources,Electricity output (GWh),1208,1264,1081,1819,1814,1446,1967,1830,2293,2399,2061,1670,1655,1298,1671,1876,2465,2099,1643,1161,1089,1402,1530,1781,2407,2261,2193,1983,2358,2284,2577,2998,1879,2741,3132,3520,3410,3731,4654,5902,7248,8065,9309,9172,9422,9384,9627,9431,10056,10352,10645,10767,11454
Czech Republic,Total,Electricity output (GWh),36372,39579,41174,43140,45908,48229,51194,53665,51249,52656,53577,54647,56651,58024,58121,60606,62196,64334,65131,62271,60298,59057,58654,58389,60575,63823,64217,64624,64159,72911,74234,75995,82816,83790,81931,83654,87764,83295,81632,85312,86776,86687,86008,85096,82616,82107,85886,86987,85869,80231,83804,83858,76181
Denmark,Fossil fuels,Electricity output (GWh),18600,20550,19096,18279,18240,20485,22042,20392,22080,26724,19719,23676,22085,22576,29027,30577,29225,27663,22351,25134,35424,29272,32182,38603,34616,51128,40963,36758,34021,29886,31276,31862,37420,30252,25618,35586,28216,25665,25528,25686,20270,15134,18060,13476,9252,11444,8502,8906,5655,4509,6158,5776,3837
Denmark,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
