page,name,url
2,Tuas Exchange Data Center,https://www.datacenters.com/singtel-tuas-exchange
2,SY6 Sydney Data Center,https://www.datacenters.com/equinix-sy6-sydney
2,LD7 London Data Center,https://www.datacenters.com/equinix-ld7-london
2,FR7 Frankfurt Data Center,https://www.datacenters.com/equinix-fr7-frankfurt
3,Shanghai Jinqiao Data Center,https://www.datacenters.com/telehouse-shanghai-jinqiao
3,Singapore SIN12 Data Center,https://www.datacenters.com/digital-realty-singapore-sin12
3,FRA - 1 - Frankfurt Data Center,https://www.datacenters.com/iron-mountain-fra-1-frankfurt
3,TR2 Toronto Data Centers,https://www.datacenters.com/equinix-tr2-toronto
3,LD5 Slough Data Center,https://www.datacenters.com/equinix-ld5-slough
3,"HK1 Tsuen Wan, N.T. Data Center",https://www.datacenters.com/equinix-hk1-tsuen-wan-n-t
3,Katong Exchange Data Center,https://www.datacenters.com/singtel-katong-exchange
3,AM5 Amsterdam IBX Data Center,https://www.datacenters.com/equinix-am5-amsterdam-ibx
3,@Charlotte Data Center Campus,https://www.datacenters.com/t5-charlotte-campus
3,Secaucus (NYC3) Data Center,https://www.datacenters.com/centersquare-secaucus-nyc3
3,AM1 Amsterdam IBX Data Center,https://www.datacenters.com/equinix-am1-amsterdam-ibx
3,MTL10-H Longueuil Data Center,https://www.datacenters.com/cologix-mtl10-h-longueuil
3,KCTC-1 Singapore Data Center,https://www.datacenters.com/singtel-kctc-1-singapore
3,AZ1 Phoenix Data Center,https://www.datacenters.com/vantage-az1-phoenix
3,Mumbai MUM-2 Data Center,https://www.datacenters.com/web-werks-india-pvt-ltd-mumbai-mum-2
3,Singapore SIN10 Data Center,https://www.datacenters.com/digital-realty-singapore-sin10
3,Indianapolis Carmel Data Center,https://www.datacenters.com/expedient-indianapolis-carmel
3,AT1 Atlanta IBX Data Center,https://www.datacenters.com/equinix-at1-atlanta-ibx
3,DA1 Dallas Data Center,https://www.datacenters.com/equinix-da1-dallas
3,New York Teleport Data Center,https://www.datacenters.com/telehouse-new-york-teleport
3,PE2 Perth Data Center,https://www.datacenters.com/equinix-pe2-perth
3,Frankfurt FRA10 Data Center,https://www.datacenters.com/digital-realty-frankfurt-fra10
3,JK1 Jakarta Data Center,https://www.datacenters.com/equinix-jk1-jakarta
3,Mumbai 02 Airoli,https://www.datacenters.com/sify-technologies-limited-mumbai-02-airoli
3,BER2 Berlin II Data Center Campus,https://www.datacenters.com/vantage-ber2-berlin-ii-campus
3,"East Windsor, NJ Data Center",https://www.datacenters.com/qts-east-windsor-nj
3,London Data Center,https://www.datacenters.com/verne-global-london
3,ORD2 (Chicago) Elk Grove Village Data Center Campus,https://www.datacenters.com/centersquare-ord2-chicago-elk-grove-village-campus
